record_date,debt_outstanding_amt,fiscal_year,fiscal_calendar_note
1823-01-01,90875877.28,1823,FY=CY (Jan-Dec)
1824-01-01,90269777.77,1824,FY=CY (Jan-Dec)
1825-01-01,83788432.71,1825,FY=CY (Jan-Dec)
1826-01-01,81054059.99,1826,FY=CY (Jan-Dec)
1827-01-01,73987357.2,1827,FY=CY (Jan-Dec)
1828-01-01,67475043.87,1828,FY=CY (Jan-Dec)
1829-01-01,58421413.67,1829,FY=CY (Jan-Dec)
1830-01-01,48565406.5,1830,FY=CY (Jan-Dec)
1831-01-01,39123191.68,1831,FY=CY (Jan-Dec)
1832-01-01,24322235.18,1832,FY=CY (Jan-Dec)
1833-01-01,7001698.83,1833,FY=CY (Jan-Dec)
1834-01-01,4760082.08,1834,FY=CY (Jan-Dec)
1835-01-01,33733.05,1835,FY=CY (Jan-Dec)
1836-01-01,37513.05,1836,FY=CY (Jan-Dec)
1837-01-01,336957.83,1837,FY=CY (Jan-Dec)
1838-01-01,3308124.07,1838,FY=CY (Jan-Dec)
1839-01-01,10434221.14,1839,FY=CY (Jan-Dec)
1840-01-01,3573343.82,1840,FY=CY (Jan-Dec)
1841-01-01,5250875.54,1841,FY=CY (Jan-Dec)
1842-01-01,13594480.73,1842,FY=CY (Jan-Dec)
1843-01-01,20201226.27,1843,FY ends Jun (Jul-Jun)
1843-07-01,32742922.0,1843,FY ends Jun (Jul-Jun)
1844-07-01,23461652.5,1844,FY ends Jun (Jul-Jun)
1845-07-01,15925303.01,1845,FY ends Jun (Jul-Jun)
1846-07-01,15550202.97,1846,FY ends Jun (Jul-Jun)
1847-07-01,38826534.77,1847,FY ends Jun (Jul-Jun)
1848-07-01,47044862.23,1848,FY ends Jun (Jul-Jun)
1849-07-01,63061858.69,1849,FY ends Jun (Jul-Jun)
1850-07-01,63452773.55,1850,FY ends Jun (Jul-Jun)
1851-07-01,68304796.02,1851,FY ends Jun (Jul-Jun)
1852-07-01,66199341.71,1852,FY ends Jun (Jul-Jun)
1853-07-01,59803117.7,1853,FY ends Jun (Jul-Jun)
1854-07-01,42242222.42,1854,FY ends Jun (Jul-Jun)
1855-07-01,35586956.56,1855,FY ends Jun (Jul-Jun)
1856-07-01,31972537.9,1856,FY ends Jun (Jul-Jun)
1857-07-01,28699831.85,1857,FY ends Jun (Jul-Jun)
1858-07-01,44911881.03,1858,FY ends Jun (Jul-Jun)
1859-07-01,58496837.88,1859,FY ends Jun (Jul-Jun)
1860-07-01,64842287.88,1860,FY ends Jun (Jul-Jun)
1861-07-01,90580873.72,1861,FY ends Jun (Jul-Jun)
1862-07-01,524176412.13,1862,FY ends Jun (Jul-Jun)
1863-07-01,1119772138.63,1863,FY ends Jun (Jul-Jun)
1864-07-01,1815784370.57,1864,FY ends Jun (Jul-Jun)
1865-07-01,2680647869.74,1865,FY ends Jun (Jul-Jun)
1866-07-01,2773236173.69,1866,FY ends Jun (Jul-Jun)
1867-07-01,2678126103.87,1867,FY ends Jun (Jul-Jun)
1868-07-01,2611687851.19,1868,FY ends Jun (Jul-Jun)
1869-07-01,2588452213.94,1869,FY ends Jun (Jul-Jun)
1870-07-01,2480672427.81,1870,FY ends Jun (Jul-Jun)
1871-07-01,2353211332.32,1871,FY ends Jun (Jul-Jun)
1872-07-01,2253251328.78,1872,FY ends Jun (Jul-Jun)
1873-07-01,2234482993.2,1873,FY ends Jun (Jul-Jun)
1874-07-01,2251690468.43,1874,FY ends Jun (Jul-Jun)
1875-07-01,2232284531.95,1875,FY ends Jun (Jul-Jun)
1876-07-01,2180395067.15,1876,FY ends Jun (Jul-Jun)
1877-07-01,2205301392.1,1877,FY ends Jun (Jul-Jun)
1878-07-01,2256205892.53,1878,FY ends Jun (Jul-Jun)
1879-07-01,2349567482.04,1879,FY ends Jun (Jul-Jun)
1880-07-01,2120415370.63,1880,FY ends Jun (Jul-Jun)
1881-07-01,2069013569.58,1881,FY ends Jun (Jul-Jun)
1882-07-01,1918312994.03,1882,FY ends Jun (Jul-Jun)
1883-07-01,1884171728.07,1883,FY ends Jun (Jul-Jun)
1884-07-01,1830528923.57,1884,FY ends Jun (Jul-Jun)
1885-07-01,1863964873.14,1885,FY ends Jun (Jul-Jun)
1886-07-01,1775063013.78,1886,FY ends Jun (Jul-Jun)
1887-07-01,1657602592.63,1887,FY ends Jun (Jul-Jun)
